Mineral name,Chemical formula,Subgroup,Group,Machine readable formula, Elemental wt%,Oxide wt%
yafsoanite,Ca3Te6+2(ZnO4)3,garnet group,oxide,"[['Ca', 3, 2], ['Te', 2, 6], ['Zn', 3, 2], ['O', 12, -2]]","{'Ca': 15.75, 'Te': 33.42, 'Zn': 25.69, 'O': 25.14}","{'CaO': 22.04, 'ZnO': 31.97, 'TeO2':41.78}"
corundum,Al2O3,hematite group,oxide,"[['Al', 2, 3], ['O', 3, -2]]","{'Al': 52.92, 'O': 47.08}",{'Al2O3': 100.00}
hematite,Fe2O3,hematite group,oxide,"[['Fe', 2, 3], ['O', 3, -2]]","{'Fe': 69.94, 'O': 30.06}",{'Fe2O3': 100.00}
eskolaite,Cr2O3,hematite group,oxide,"[['Cr', 2, 3], ['O', 3, -2]]","{'Cr': 68.42, 'O': 31.58}",{'Cr2O3': 100.00}
ilmenite,Fe2+TiO3,ilmenite group,oxide,"[['Mg', 1, 2], ['Si', 1, 4], ['O', 3, -2]]","{'Mg': 24.21, 'Si': 27.98, 'O': 47.81}","{'TiO2': 52.65, 'FeO': 47.35}"
akimotoite,MgSiO3,ilmenite group,oxide,"[['Mg', 1, 2], ['Si', 1, 4], ['O', 3, -2]]","{'Mg': 24.21, 'Si': 27.98, 'O': 47.81}","{'SiO2': 59.85, 'MgO': 40.15}"
pyrophanite,Mn2+TiO3,ilmenite group,oxide,"[['Mn', 1, 2], ['Ti', 1, 4], ['O', 3, -2]]","{'Mn': 36.43, 'Ti': 31.74, 'O': 31.83}","{'TiO2': 52.96, 'MnO': 47.04}"
marokite,CaMn3+2O4,marokite group,oxide,"[['Ca', 1, 2], ['Mn', 2, 3], ['O', 4, -2]]","{'Ca': 18.73, 'Mn': 51.35, 'O': 29.91}","{'CaO': 26.21, 'Mn2O3':73.79}"
harmunite,CaFe2O4,marokite group,oxide,"[['Ca', 1, 2], ['Fe', 2, 3], ['O', 4, -2]]","{'Ca': 18.57, 'Fe': 51.76, 'O': 29.66}","{'CaO': 25.57, 'Fe2O3':73.43"
quartz,Sio2,nan,oxide,"[['Si', 1, 4], ['O', 1, -2]]","{'Si': 63.71, 'O': 36.29}",{'SiO2': 100.00}
